"ano","area","total"
2004,"Relações Internacionais","634167"
2004,"Robótica, Mecatrônica e Automação","185775"
2004,"Saúde Coletiva","329341989"
2004,"Serviço Social","137892737"
2004,"Sociologia","442446562"
2004,"Teologia","36747705"
2004,"Turismo","10127696"
2004,"Zoologia","385162044"
2004,"Zootecnia","556945832"
2004,NULL,"55077201"
2005,"Administração","247926293"
2005,"Administração Hospitalar","319057"
2005,"Administração Rural","6840"
2005,"Agronomia","1674301641"
2005,"Antropologia","346062694"
2005,"Arqueologia","108055685"
2005,"Arquitetura e Urbanismo","119598389"
2005,"Artes","175489218"
2005,"Astronomia","221210575"
2005,"Bioética","785568"
2005,"Biofísica","245260273"
2005,"Biologia Geral","65224246"
2005,"Biomedicina","1304740"
2005,"Bioquímica","991826812"
2005,"Biotecnologia","6994084"
2005,"Botânica","402015213"
2005,"Ciência da Computação","802288772"
2005,"Ciência da Informação","62899571"
2005,"Ciência e Tecnologia de Alimentos","385626523"
2005,"Ciência Política","219724045"
2005,"Ciências","10921727"
2005,"Ciências Sociais","64932918"
2005,"Comunicação","226224439"
2005,"Defesa","523712"
2005,"Demografia","65071584"
2005,"Desenho de Projetos","742512"
2005,"Desenho Industrial","169223616"
2005,"Direito","94018345"
2005,"Ecologia","528737209"
2005,"Economia","392156494"
2005,"Economia Doméstica","1405203"
2005,"Educação","733419175"
2005,"Educação Física","67837401"
2005,"Enfermagem","163651682"
2005,"Engenharia Aeroespacial","126301211"
2005,"Engenharia Agrícola","242771788"
2005,"Engenharia Biomédica","131906724"
2005,"Engenharia Civil","641664831"
2005,"Engenharia de Energia","1543136"
2005,"Engenharia de Materiais e Metalúrgica","712483227"
2005,"Engenharia de Minas","46306991"
2005,"Engenharia de Produção","275398498"
2005,"Engenharia de Transportes","93381921"
2005,"Engenharia Elétrica","891230906"
2005,"Engenharia Mecânica","708613488"
2005,"Engenharia Mecatrônica","6969904"
2005,"Engenharia Naval e Oceânica","34679222"
2005,"Engenharia Nuclear","185650532"
2005,"Engenharia Química","588281713"
2005,"Engenharia Sanitária","441192617"
2005,"Farmácia","225232613"
2005,"Farmacologia","436497283"
2005,"Filosofia","277939638"
2005,"Física","1633428116"
2005,"Fisiologia","396803609"
2005,"Fisioterapia e Terapia Ocupacional","42475940"
2005,"Fonoaudiologia","24303684"
2005,"Genética","734975807"
2005,"Geociências","910932098"
2005,"Geografia","161826795"
2005,"História","488032267"
2005,"Historia Natural","169057"
2005,"Imunologia","363148382"
2005,"Letras","511093570"
2005,"Lingüística","441770275"
2005,"Matemática","602061724"
2005,"Medicina","834253404"
2005,"Medicina Veterinária","482928857"
2005,"Microbiologia","440766061"
2005,"Microeletrônica","20955"
2005,"Morfologia","212233694"
2005,"Multidisciplinar","139247786"
2005,"Museologia","2771771"
2005,"Nutrição","136231974"
2005,"Oceanografia","295205339"
2005,"Odontologia","291933176"
2005,"Parasitologia","260837850"
2005,"Planejamento Urbano e Regional","107103122"
2005,"Probabilidade e Estatística","106412155"
2005,"Psicologia","577613725"
2005,"Química","1685309078"
2005,"Química Industrial","3963520"
2005,"Recursos Florestais e Engenharia Florestal","227625952"
2005,"Recursos Pesqueiros e Engenharia de Pesca","131160425"
2005,"Relações Internacionais","3130156"
2005,"Saúde Coletiva","406395976"
2005,"Serviço Social","125831531"
2005,"Sociologia","422756612"
2005,"Teologia","38343018"
2005,"Turismo","11945139"
2005,"Zoologia","436971353"
2005,"Zootecnia","565368544"
2005,NULL,"128909788"
2006,"Administração","199257619"
2006,"Administração Hospitalar","3600"
2006,"Administração Rural","15279"
2006,"Agronomia","1259619876"
2006,"Antropologia","248137450"
2006,"Arqueologia","65218931"
2006,"Arquitetura e Urbanismo","78358947"
2006,"Artes","82120192"
2006,"Astronomia","157650558"
2006,"Bioética","2356704"
2006,"Biofísica","198927102"
2006,"Biologia Geral","75527152"
2006,"Biomedicina","4311914"
2006,"Bioquímica","848736614"
2006,"Biotecnologia","4900027"
2006,"Botânica","275454629"
2006,"Ciência da Computação","744643960"
2006,"Ciência da Informação","19976659"
2006,"Ciência e Tecnologia de Alimentos","338019621"
2006,"Ciência Política","154614632"
2006,"Ciências","3150040"
2006,"Ciências Ambientais","9842183"
2006,"Ciências Sociais","67887297"
2006,"Comunicação","135924788"
2006,"Defesa","2356704"
2006,"Demografia","55146764"
2006,"Desenho de Projetos","15600"
2006,"Desenho Industrial","162364062"
2006,"Direito","59996611"
2006,"Divulgação Científica","27553309"
2006,"Ecologia","412355946"
2006,"Economia","214314496"
2006,"Economia Doméstica","549752"
2006,"Educação","567324722"
2006,"Educação Física","34348147"
2006,"Enfermagem","90136085"
2006,"Engenharia Aeroespacial","170223478"
2006,"Engenharia Agrícola","195015432"
2006,"Engenharia Biomédica","105093807"
2006,"Engenharia Civil","472151725"
2006,"Engenharia de Energia","5900108"
2006,"Engenharia de Materiais e Metalúrgica","600362213"
2006,"Engenharia de Minas","40298890"
2006,"Engenharia de Produção","246370984"
2006,"Engenharia de Transportes","53461540"
2006,"Engenharia Elétrica","854543170"
2006,"Engenharia Mecânica","588145148"
2006,"Engenharia Mecatrônica","5221331"
2006,"Engenharia Naval e Oceânica","35788328"
2006,"Engenharia Nuclear","123848517"
2006,"Engenharia Química","566314721"
2006,"Engenharia Sanitária","374649488"
2006,"Estudos Sociais","735124"
2006,"Farmácia","185936251"
2006,"Farmacologia","334763212"
2006,"Filosofia","143758917"
2006,"Física","1119237598"
2006,"Fisiologia","273251469"
2006,"Fisioterapia e Terapia Ocupacional","28384338"
2006,"Fonoaudiologia","6635826"
2006,"Genética","548100610"
2006,"Geociências","753138035"
2006,"Geografia","105443042"
2006,"História","373503313"
2006,"Imunologia","213134807"
2006,"Letras","372034772"
2006,"Lingüística","275315640"
2006,"Matemática","397570291"
2006,"Medicina","699399815"
2006,"Medicina Veterinária","339065009"
2006,"Microbiologia","304976828"
2006,"Microeletrônica","26556"
2006,"Morfologia","152521397"
2006,"Multidisciplinar","205997415"
2006,"Museologia","7480668"
2006,"Nutrição","49579355"
2006,"Oceanografia","234483568"
2006,"Odontologia","183386010"
2006,"Parasitologia","163645541"
2006,"Planejamento Urbano e Regional","60932176"
2006,"Probabilidade e Estatística","89479833"
2006,"Psicologia","408136753"
2006,"Química","1358200691"
2006,"Química Industrial","1267748"
2006,"Recursos Florestais e Engenharia Florestal","145708417"
2006,"Recursos Pesqueiros e Engenharia de Pesca","118005319"
2006,"Relações Internacionais","3417842"
2006,"Saúde Coletiva","274506041"
2006,"Serviço Social","91352869"
2006,"Sociologia","288555721"
2006,"Tecnologia e Inovação","12080716"
2006,"Teologia","34528732"
2006,"Turismo","4403715"
2006,"Zoologia","365556393"
2006,"Zootecnia","438210787"
2006,NULL,"122433576"
2007,"Administração","236932721"
2007,"Administração Hospitalar","110140"
2007,"Administração Rural","32736"
2007,"Agronomia","1268775409"
2007,"Antropologia","72384199"
2007,"Arqueologia","52583328"
2007,"Arquitetura e Urbanismo","41196546"
2007,"Artes","48255946"
2007,"Astronomia","120764473"
2007,"Biofísica","195219491"
2007,"Biologia Geral","117694950"
2007,"Biomedicina","166412"
2007,"Bioquímica","376268567"
2007,"Biotecnologia","78815088"
2007,"Botânica","302468795"
2007,"Ciência da Computação","450314966"
2007,"Ciência da Informação","21885425"
2007,"Ciência e Tecnologia de Alimentos","217745307"
2007,"Ciência Política","52729307"
2007,"Ciências","12812678"
2007,"Ciências Ambientais","224195773"
2007,"Ciências Sociais","2894103"
2007,"Comunicação","66637788"
2007,"Defesa","9760"
2007,"Demografia","14919229"
2007,"Desenho de Projetos","1200"
2007,"Desenho Industrial","166227561"
2007,"Direito","25982304"
2007,"Divulgação Científica","104195021"
2007,"Ecologia","608503663"
2007,"Economia","351259819"
2007,"Economia Doméstica","123732"
2007,"Educação","288978061"
2007,"Educação Física","11629848"
2007,"Enfermagem","52191274"
2007,"Engenharia Aeroespacial","160669386"
2007,"Engenharia Agrícola","128736290"
