palavra,freq
ciencias,44
feira,42
tecnologia,42
baixo,40
educacionais,40
amazonas,40
fecitba,40
mesorregiao,40
microalgas,19
aguas,15
algaacqua,9
residuais,9
usando,9
biofertilizantes,9
extratos,9
recuperacao,9
producao,9
atraves,6
cultivo,6
degradadas,6
efluentes,6
saude,6
piloto,6
planta,6
modelagem,2
encapsulamento,2
exergoeconomica,2
matematica,2
vinhaca,2
bioremediacao,2
biofertilizante,2
educacao,2
cultura,2
fecitec,2
talentos,2
sociedade,2
