"grande_area","modalidade","linha_de_fomento","valor"
"Outra","SWG - Graduação Sanduíche no Exterior","Bolsas de Graduação","7219263506"
"Ciências Humanas","APQ - Auxílio a Pesquisa","APOIO A PROJETOS DE PESQUISA","7187035927"
"Ciências Exatas e da Terra","DTI - Desenvolvimento Tecnológico Industrial","Bolsas de Desenvolvimento Tecnológico e Industrial","7164651097"
"Não se aplica","PCI - Programa de Capacitação Institucional","APOIO A PROJETOS DE PESQUISA","6722426000"
"Engenharias","PDE - Pós-doutorado no Exterior","Bolsas de Pós-doutorado","6721373660"
"Ciências Agrárias","IC - Iniciação Científica","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","6651540000"
"Ciências da Saúde","GD - Doutorado","Bolsas de Doutorado","6474586729"
"Ciências Humanas","IC - Iniciação Científica","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","6292060000"
"Ciências Agrárias","GD - Doutorado","APOIO A PROJETOS DE PESQUISA","6239036440"
"Ciências Biológicas","IC - Iniciação Científica","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","6231580000"
"Ciências Sociais Aplicadas","APQ - Auxílio a Pesquisa","Apoio a Projetos de Pesquisas","6090529075"
"Ciências Sociais Aplicadas","PDJ - Pós-Doutorado Júnior","APOIO A PROJETOS DE PESQUISA","5940245917"
"Ciências Agrárias","DTI - Desenvolvimento Tecnológico Industrial","Bolsas de Desenvolvimento Tecnológico e Industrial","5893212538"
"Ciências Exatas e da Terra","SWE - Doutorado Sanduíche no Exterior","Bolsas de Doutorado","5820695343"
"Ciências Sociais Aplicadas","PQ - Produtividade em Pesquisa","Bolsas de Produtividade em Pesquisa e Tecnologia","5727046942"
"Ciências Sociais Aplicadas","PQ - Produtividade em Pesquisa","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","5527934000"
"Ciências Biológicas","SWE - Doutorado Sanduíche no Exterior","Bolsas de Doutorado","5419657442"
"Ciências Agrárias","GDE - Doutorado no Exterior","Bolsas de Doutorado","5375786831"
"Ciências da Saúde","PDE - Pós-doutorado no Exterior","Bolsas de Pós-doutorado","5368434866"
"Ciências da Saúde","IC - Iniciação Científica","Bolsas de Iniciação Científica","5355516268"
"Ciências Sociais Aplicadas","APQ - Auxílio a Pesquisa","APOIO A PROJETOS DE PESQUISA","5136102508"
"Engenharias","DTI - Desenvolvimento Tecnológico Industrial","APOIO A PROJETOS DE PESQUISA","5104726200"
"Engenharias","SWE - Doutorado Sanduíche no Exterior","Bolsas de Doutorado","5084054045"
"Ciências Biológicas","DTI - Desenvolvimento Tecnológico Industrial","APOIO A PROJETOS DE PESQUISA","5072729600"
"Ciências Exatas e da Terra","DTI - Desenvolvimento Tecnológico Industrial","APOIO A PROJETOS DE PESQUISA","4970473200"
"Ciências Humanas","GD - Doutorado","APOIO A PROJETOS DE PESQUISA","4920101288"
"Ciências Biológicas","PDJ - Pós-doutorado Júnior","Bolsas de Pós-doutorado","4735690058"
"Ciências Exatas e da Terra","PDJ - Pós-doutorado Júnior","Bolsas de Pós-doutorado","4651759213"
"Ciências Exatas e da Terra","IC - Iniciação Científica","Bolsas de Iniciação Científica","4610912353"
"Outra","APQ - Auxílio a Pesquisa","APOIO A PROJETOS DE PESQUISA","4602062492"
"Ciências da Saúde","GDE - Doutorado no Exterior","Bolsas de Doutorado","4562111772"
"Ciências Agrárias","PDE - Pós-doutorado no Exterior","Bolsas de Pós-doutorado","4528550243"
"Ciências da Saúde","DTI - Desenvolvimento Tecnológico Industrial","Bolsas de Desenvolvimento Tecnológico e Industrial","4501793875"
"Engenharias","IC - Iniciação Científica","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","4461020000"
"Ciências Exatas e da Terra","ICJ - Iniciação Científica Júnior","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","4437990000"
"Ciências Exatas e da Terra","GM - Mestrado","Bolsas de Mestrado","4254160334"
"Ciências Agrárias","IC - Iniciação Científica","Bolsas de Iniciação Científica","4184681108"
"Ciências Sociais Aplicadas","IC - Iniciação Científica","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","4035420000"
"Ciências Humanas","IC - Iniciação Científica","Bolsas de Iniciação Científica","4034661952"
"Ciências Exatas e da Terra","GM - Mestrado","APOIO A PROJETOS DE PESQUISA","3949140000"
"Engenharias","GM - Mestrado","Bolsas de Mestrado","3944293620"
"Ciências Biológicas","IC - Iniciação Científica","Bolsas de Iniciação Científica","3902798918"
"Lingüística, Letras e Artes","GD - Doutorado","Bolsas de Doutorado","3873839029"
"Outra","AI - Auxílio a Pesquisa","Apoio a Projetos de Pesquisas","3856598425"
"Ciências da Saúde","DTI - Desenvolvimento Tecnológico Industrial","APOIO A PROJETOS DE PESQUISA","3830243217"
"Ciências Sociais Aplicadas","GD - Doutorado","Bolsas de Doutorado","3815495982"
"Ciências Agrárias","GM - Mestrado","Bolsas de Mestrado","3809135849"
"Lingüística, Letras e Artes","PQ - Produtividade em Pesquisa","Bolsas de Produtividade em Pesquisa e Tecnologia","3714587729"
"Ciências Humanas","GM - Mestrado","Bolsas de Mestrado","3678097443"
"Ciências Sociais Aplicadas","GDE - Doutorado no Exterior","Bolsas de Doutorado","3659247447"
"Ciências Biológicas","GM - Mestrado","Bolsas de Mestrado","3656338908"
"Outra","PDJ - Pós-Doutorado Júnior","APOIO A PROJETOS DE PESQUISA","3577708000"
"Ciências Agrárias","SWE - Doutorado Sanduíche no Exterior","Bolsas de Doutorado","3477975069"
"Ciências Agrárias","GM - Mestrado","APOIO A PROJETOS DE PESQUISA","3402900000"
"Tecnologias","DT - Produtividade Desen. Tec. e Extensão Inovadora","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","3253555633"
"Engenharias","GM - Mestrado","APOIO A PROJETOS DE PESQUISA","3224910000"
"Ciências da Saúde","GD - Doutorado","APOIO A PROJETOS DE PESQUISA","3224254858"
"Ciências Humanas","AI - Auxílio a Pesquisa","Apoio a Projetos de Pesquisas","3198945202"
"Ciências Biológicas","GM - Mestrado","APOIO A PROJETOS DE PESQUISA","3093600000"
"Lingüística, Letras e Artes","PQ - Produtividade em Pesquisa","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","3066732000"
"Outra","ICJ - Iniciação Científica Júnior","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","3059320000"
"Outra","GDE - Doutorado no Exterior","Bolsas de Doutorado","2843960319"
"Engenharias","IC - Iniciação Científica","Bolsas de Iniciação Científica","2749163944"
"Ciências da Saúde","SWE - Doutorado Sanduíche no Exterior","Bolsas de Doutorado","2717925461"
"Outra","DTI - Desenvolvimento Tecnológico Industrial","Bolsas de Desenvolvimento Tecnológico e Industrial","2614294390"
"Engenharias","PDJ - Pós-doutorado Júnior","Bolsas de Pós-doutorado","2510945117"
"Engenharias","SET - Fixação de Recursos Humanos","APOIO A PROJETOS DE PESQUISA","2510848900"
"Ciências Humanas","GM - Mestrado","APOIO A PROJETOS DE PESQUISA","2484720000"
"Ciências Agrárias","PDJ - Pós-doutorado Júnior","Bolsas de Pós-doutorado","2478972680"
"Ciências Sociais Aplicadas","IC - Iniciação Científica","Bolsas de Iniciação Científica","2469939542"
"Ciências Humanas","PDE - Pós-doutorado no Exterior","Bolsas de Pós-doutorado","2432548919"
"Ciências Agrárias","DTI - Desenvolvimento Tecnológico Industrial","APOIO A PROJETOS DE PESQUISA","2371180200"
"Ciências Biológicas","PDJ - Pós-Doutorado Júnior","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","2350330695"
"Ciências Exatas e da Terra","SET - Fixação de Recursos Humanos","APOIO A PROJETOS DE PESQUISA","2290874000"
"Tecnologias","DT - Produtividade Desen. Tec. e Extensão","Bolsas de Produtividade em Pesquisa e Tecnologia","2268594000"
"Lingüística, Letras e Artes","IC - Iniciação Científica","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","2226440000"
"Ciências Humanas","GDE - Doutorado no Exterior","Bolsas de Doutorado","2164473108"
"Engenharias","PCI - Programa de Capacitação Institucional","Bolsas de Desenvolvimento Tecnológico e Industrial","2071318390"
"Ciências da Saúde","GM - Mestrado","Bolsas de Mestrado","1890120111"
"Outra","PDE - Pós-doutorado no Exterior","Bolsas de Pós-doutorado","1775172098"
"Ciências Exatas e da Terra","DTC - Desenvolvimento Tecnológico em TICs","APOIO A PROJETOS DE PESQUISA","1741560000"
"Ciências Exatas e da Terra","PDJ - Pós-Doutorado Júnior","APOIO A PROJETOS DE PESQUISA","1734571727"
"Ciências Sociais Aplicadas","GM - Mestrado","Bolsas de Mestrado","1722736496"
"Ciências Sociais Aplicadas","PDE - Pós-doutorado no Exterior","Bolsas de Pós-doutorado","1672373301"
"Ciências Humanas","SWE - Doutorado Sanduíche no Exterior","Bolsas de Doutorado","1664536442"
"Ciências Agrárias","EXP - Extensão no País","Bolsas de Extensão em Pesquisa","1632312781"
"Ciências Sociais Aplicadas","GD - Doutorado","APOIO A PROJETOS DE PESQUISA","1624693440"
"Ciências Humanas","PDJ - Pós-doutorado Júnior","Bolsas de Pós-doutorado","1623093337"
"Ciências Exatas e da Terra","PDJ - Pós-Doutorado Júnior","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","1614299409"
"Ciências da Saúde","PDJ - Pós-doutorado Júnior","Bolsas de Pós-doutorado","1614147524"
"Outra","GD - Doutorado","Bolsas de Doutorado","1609176713"
"Ciências Agrárias","PDJ - Pós-Doutorado Júnior","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","1563774164"
"Ciências Exatas e da Terra","ICJ - Iniciação Científica Júnior","Bolsas de Iniciação Científica Júnior","1563626900"
"Lingüística, Letras e Artes","SWG - Graduação Sanduíche no Exterior","Bolsas de Graduação","1555340562"
"Lingüística, Letras e Artes","APQ - Auxílio a Pesquisa","Apoio a Projetos de Pesquisas","1512664130"
"Lingüística, Letras e Artes","GD - Doutorado","APOIO A PROJETOS DE PESQUISA","1502513360"
"Ciências da Saúde","GM - Mestrado","APOIO A PROJETOS DE PESQUISA","1462170000"
"Ciências Exatas e da Terra","PDE - Pós-Doutorado no Exterior","APOIO A COOPERAÇÃO INTERNACIONAL","1459222305"
"Ciências Agrárias","SET - Fixação de Recursos Humanos","APOIO A PROJETOS DE PESQUISA","1453517400"
"Ciências Biológicas","PDE - Pós-Doutorado no Exterior","APOIO A COOPERAÇÃO INTERNACIONAL","1434557390"
"Ciências Biológicas","PDJ - Pós-Doutorado Júnior","APOIO A PROJETOS DE PESQUISA","1404352126"
"Outra","PCI - Programa de Capacitação Institucional","Bolsas de Desenvolvimento Tecnológico e Industrial","1387257000"
"Ciências Humanas","EXP - Extensão no País","Bolsas de Extensão em Pesquisa","1375996924"
"Ciências Exatas e da Terra","PCI - Programa de Capacitação Institucional","Bolsas de Desenvolvimento Tecnológico e Industrial","1347857550"
"Lingüística, Letras e Artes","IC - Iniciação Científica","Bolsas de Iniciação Científica","1327315675"
"Ciências Sociais Aplicadas","DTI - Desenvolvimento Tecnológico Industrial","Bolsas de Desenvolvimento Tecnológico e Industrial","1321754839"
"Ciências Exatas e da Terra","GD - Doutorado","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","1270422399"
"Engenharias","IT - Iniciação Tecnológica","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","1256280000"
"Ciências Biológicas","SET - Fixação de Recursos Humanos","APOIO A PROJETOS DE PESQUISA","1251504000"
"Ciências Humanas","PDJ - Pós-Doutorado Júnior","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","1248298480"
"Ciências Biológicas","AT - Apoio Técnico a Pesquisa","Bolsas de Apoio Técnico","1220149535"
"Ciências Biológicas","GD - Doutorado","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","1201803242"
"Outra","PQ - Produtividade em Pesquisa","Bolsas de Produtividade em Pesquisa e Tecnologia","1200006205"
"Ciências Humanas","PDE - Pós-Doutorado no Exterior","APOIO A COOPERAÇÃO INTERNACIONAL","1198502124"
"Ciências Sociais Aplicadas","GM - Mestrado","APOIO A PROJETOS DE PESQUISA","1183710000"
"Ciências Sociais Aplicadas","AI - Auxílio a Pesquisa","Apoio a Projetos de Pesquisas","1181615402"
"Engenharias","PDJ - Pós-Doutorado Júnior","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","1149889064"
"Ciências Agrárias","IT - Iniciação Tecnológica","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","1124290000"
