"grande_area","area","subarea","valor"
"Ciências Sociais Aplicadas","Ciência da Informação","Biblioteconomia","5565264836"
"Ciências Exatas e da Terra","Ciência da Computação","Engenharia de Software","5435769263"
"Ciências Biológicas","Morfologia","Histologia","5433957940"
"Ciências Biológicas","Imunologia","Imunogenética","5416994794"
"Ciências Humanas","Arqueologia","Arqueologia Pré-Histórica","5413041296"
"Ciências Humanas","Ciência Política","Estado e Governo","5348539812"
"Ciências Biológicas","Farmacologia","Toxicologia","5319405675"
"Ciências Agrárias","Engenharia Agrícola","Engenharia de Processamento de Produtos Agrícolas","5288599177"
"Outra","Robótica, Mecatrônica e Automação","Robótica, Mecatrônica e Automação","5287303706"
"Ciências Exatas e da Terra","Ciência da Computação","Sistemas de Informação","5273155165"
"Engenharias","Engenharia Mecânica","Projetos de Máquinas","5229044713"
"Lingüística, Letras e Artes","Artes","Teatro","5217499688"
"Ciências da Saúde","Farmácia","Fisiopatologia e diagnóstico laboratorial","5147594714"
"Ciências Humanas","Psicologia","Psicologia Fisiológica","5057498072"
"Ciências da Saúde","Odontologia","Endodontia","5029341007"
"Ciências Sociais Aplicadas","Arquitetura e Urbanismo","Planejamento e Projetos da Edificação","4982262309"
"Ciências Humanas","Psicologia","Psicologia Experimental","4960194107"
"Lingüística, Letras e Artes","Lingüística","Psicolingüística","4949397624"
"Ciências Sociais Aplicadas","Planejamento Urbano e Regional","Métodos e Técnicas do Planejamento Urbano e Regional","4845002393"
"Engenharias","Microeletrônica","Projeto","4641482680"
"Engenharias","Engenharia de Produção","Planejamento, Projeto e Controle de Sistemas de Produção","4583691343"
"Ciências Sociais Aplicadas","Planejamento Urbano e Regional","Serviços Urbanos e Regionais","4557213047"
"Ciências Humanas","Educação","Currículo","4549591230"
"Ciências Sociais Aplicadas","Desenho Industrial","Programação Visual","4541436051"
"Ciências Sociais Aplicadas","Planejamento Urbano e Regional","Fundamentos do Planejamento Urbano e Regional","4489371541"
"Ciências Exatas e da Terra","Ciência da Computação","Matemática da Computação","4437086691"
"Ciências da Saúde","Enfermagem","Enfermagem Pediátrica","4395356279"
"Ciências Sociais Aplicadas","Serviço Social","Fundamentos do Serviço Social","4382132930"
"Ciências Sociais Aplicadas","Demografia","Componentes da Dinâmica Demográfica","4373733125"
"Engenharias","Engenharia Elétrica","Medidas Elétricas, Magnéticas e Eletrônicas; Instrumentação","4357959620"
"Ciências da Saúde","Educação Física","Educação Física","4340789179"
"Ciências Sociais Aplicadas","Direito","Teoria do Direito","4290593220"
"Ciências Exatas e da Terra","Astronomia","Astrofísica Estelar","4284100453"
"Ciências Sociais Aplicadas","Comunicação","Jornalismo e Editoração","4280023500"
"Ciências Agrárias","Recursos Pesqueiros e Engenharia de Pesca","Recursos Pesqueiros Marinhos","4266372694"
"Ciências Biológicas","Zoologia","Zoologia Aplicada","4203839560"
"Ciências Biológicas","Farmacologia","Farmacologia Cardiorenal","4161150968"
"Engenharias","Engenharia de Transportes","Planejamento de Transportes","4141415504"
"Ciências Agrárias","Medicina Veterinária","Inspeção de Produtos de Origem Animal","4112061930"
