palavra,freq
saúde,18140
conhecimento,14751
olimpíadas,10259
mentoria,9953
médio,9300
pibiti,8211
sustentabilidade,7531
social,6231
biodiversidade,6104
política,6033
história,5680
ebserh,5344
estudantes,5260
energia,5101
políticas,5030
controle,4820
doenças,4785
amazônia,4614
ufrj,4596
redes,4497
sustentável,4428
inteligência,4388
modelagem,4318
afirmativas,4295
artificial,4290
química,4285
humanos,4254
ações,4193
ambiental,4135
engenharia,4071
ambiente,4038
cultura,4032
física,4020
pública,3993
mudanças,3830
jovens,3771
inclusão,3729
gestão,3693
doutores,3548
vida,3483
aprendizado,3482
climáticas,3422
capacitação,3352
nanotecnologia,3289
conservação,3289
teoria,3206
biotecnologia,3190
câncer,3168
doença,3122
covid,3119
sociais,3111
molecular,3091
públicas,3084
resistência,3006
segurança,2987
meio,2982
fixação,2975
água,2951
informação,2946
modelos,2928
genética,2856
crescimento,2815
resíduos,2743
comunicação,2723
máquina,2717
solo,2690
enic,2653
acadêmica,2632
pbic,2610
alimentos,2589
doutorado,2585
economia,2566
computacional,2562
aplicada,2553
profissional,2550
produtos,2530
sociedade,2530
diagnóstico,2528
biologia,2517
computação,2459
animal,2412
digital,2402
taxonomia,2388
agricultura,2370
ufba,2356
otimização,2347
mestrado,2346
manejo,2315
diversidade,2308
naturais,2292
popularização,2290
dinâmica,2289
tratamento,2280
ecologia,2264
estresse,2259
internacionalização,2253
aprendizagem,2239
carbono,2210
plantas,2187
células,2141
inteligentes,2137
básica,2118
remoto,2112
nuclear,2098
matemática,2094
ambientais,2068
epidemiologia,2065
cientifica,2042
monitoramento,2040
processamento,2014
risco,2010
métodos,2005
propriedades,1982
interação,1950
estudos,1945
centelha,1917
serviços,1876
genômica,1869
graduandos,1856
melhoramento,1855
comportamento,1844
professores,1816
criatividade,1801
pensamento,1799
inflamação,1781
alimentar,1780
urbana,1769
espaço,1762
evolução,1742
empreendedorismo,1735
planejamento,1715
geração,1710
compostos,1703
regional,1695
atenção,1656
energias,1650
impacto,1646
gênero,1629
humana,1624
sensores,1622
biomarcadores,1621
incentivo,1604
cidades,1603
modelo,1588
desempenho,1588
nanopartículas,1584
enfermagem,1581
renováveis,1580
internet,1549
integração,1532
terapia,1531
quântica,1524
astronomia,1506
vegetal,1499
brasileira,1496
democracia,1485
literatura,1483
indústria,1481
espécies,1475
espacial,1456
superior,1453
simulação,1451
celular,1437
direitos,1435
ufal,1431
memória,1420
sensoriamento,1414
biológicas,1391
fármacos,1380
grafeno,1377
rede,1376
relatório,1375
ufes,1373
obesidade,1371
eficiência,1366
método,1348
qualificação,1335
grosso,1331
mato,1327
funcional,1323
escola,1323
violência,1318
carlos,1317
efeito,1315
estrutura,1314
ufrpe,1313
verde,1307
transferência,1305
espectroscopia,1298
direito,1286
primária,1277
polímeros,1259
stem,1252
transporte,1238
hidrogênio,1237
infantil,1230
cientistas,1228
américa,1212
biomassa,1212
instrumentação,1205
nutrição,1202
coisas,1201
patrimônio,1198
ufms,1191
desigualdades,1186
eletrônica,1186
síntese,1179
mental,1178
digitais,1168
mecânica,1160
ecossistemas,1156
metabolismo,1149
humanas,1147
indicadores,1147
semiárido,1144
imagens,1143
urbano,1138
mineral,1134
feira,1132
novos,1130
medicina,1123
estruturas,1120
software,1108
sistemática,1101
avançados,1101
genero,1093
práticas,1086
agronegócio,1086
vírus,1086
futuras,1086
gênica,1084
educacional,1073
nanomateriais,1072
vulnerabilidade,1067
dispositivos,1066
bioeconomia,1062
acesso,1060
cultural,1058
unicamp,1057
promoção,1057
vacina,1056
elementos,1046
sars,1045
diabetes,1038
elétrica,1038
mineração,1033
tuberculose,1032
óleo,1029
relações,1021
justiça,1008
circular,1006
linguagem,1004
fisiologia,1001
fatores,999
comunidades,997
matéria,983
emergentes,982
internacional,981
metais,981
funcionais,970
alta,969
arte,968
vigilância,958
expressão,956
interdisciplinaridade,955
mulheres,954
genético,945
motivação,944
coleções,944
oxidativo,943
psicologia,942
ação,939
