ano_referencia,sigla_uf_origem,total
2011,RS,122607341.8
2011,SC,46368505.32
2011,SE,7191279.24
2011,SP,372583949.48
2011,TO,3978891.13
2012,AC,1547292.39
2012,AL,12300053.27
2012,AM,24637506.89
2012,AP,2116440.41
2012,BA,45650528.64
2012,CE,53397282.29
2012,DF,110262226.57
2012,ES,12365395.1
2012,GO,26287317.11
2012,MA,8224316.16
2012,MG,174193181.97
2012,MS,14868382.99
2012,MT,8133622.11
2012,PA,36184347.11
2012,PB,36543447.78
2012,PE,72547704.9
2012,PI,6423919.51
2012,PR,77815938.49
2012,RJ,258172324.53
2012,RN,29232358.72
2012,RO,2550438.72
2012,RR,1283304.09
2012,RS,156263767.8
2012,SC,64186703.65
2012,SE,11856474.03
2012,SP,457734211.85
2012,TO,4315242.3
2013,AC,2020095.43
2013,AL,12554697.76
2013,AM,24093895.08
2013,AP,1486676.36
2013,BA,66834673.88
2013,CE,68607619.09
2013,DF,163286173.78
2013,ES,17788892.64
2013,GO,28220296.15
2013,MA,11970392.26
2013,MG,243908808.88
2013,MS,15482685.99
2013,MT,12674974.96
2013,PA,38556536.0
2013,PB,42951026.36
2013,PE,90626169.18
2013,PI,8626239.44
2013,PR,97945111.67
2013,RJ,334261897.7
2013,RN,37751210.2
2013,RO,2401810.08
2013,RR,1475605.6099999999
2013,RS,201455463.03
2013,SC,85917706.14
2013,SE,11584200.26
2013,SP,587800132.54
2013,TO,5148958.42
2014,AC,2905374.05
2014,AL,18922135.12
2014,AM,28262479.95
2014,AP,2070429.5
2014,BA,101640807.26
2014,CE,96697309.8
2014,DF,203817045.73
2014,ES,32881143.55
2014,GO,36525131.9
2014,MA,21600119.25
2014,MG,375115817.52
2014,MS,20764814.67
2014,MT,13882181.59
2014,PA,47581787.49
2014,PB,58250151.97
2014,PE,118751818.23
2014,PI,12961842.91
2014,PR,154756980.2
2014,RJ,401453921.59
2014,RN,55044397.79
2014,RO,3632207.21
2014,RR,3221140.17
2014,RS,272344778.35
2014,SC,132685822.69
2014,SE,18234068.09
2014,SP,751471826.95
2014,TO,6004715.21
2015,AC,4109194.34
2015,AL,12813931.0
2015,AM,23148916.37
2015,AP,1725894.49
2015,BA,72730980.16
2015,CE,72892569.33
2015,DF,175686435.22
2015,ES,22607367.93
2015,GO,31853474.04
2015,MA,12064546.51
2015,MG,273327316.27
2015,MS,15903732.65
2015,MT,12206072.55
2015,PA,38789386.57
2015,PB,48167806.87
2015,PE,85910928.56
2015,PI,12132475.51
2015,PR,112430101.4
2015,RJ,314080705.75
2015,RN,37793985.67
2015,RO,5029581.07
2015,RR,2664257.44
2015,RS,192576033.92
2015,SC,97125964.77
2015,SE,15209850.86
2015,SP,616514992.06
2015,TO,5178323.2700000005
2016,AC,2314763.27
2016,AL,9430283.42
2016,AM,19403853.05
2016,AP,1298381.36
2016,BA,49613005.9
2016,CE,53004089.68
2016,DF,143504721.22
2016,ES,16645198.6
2016,GO,24780973.25
2016,MA,7275024.39
2016,MG,192850205.9
2016,MS,11327430.76
2016,MT,8323948.5
2016,PA,34985125.86
2016,PB,36024711.44
2016,PE,66905339.28
2016,PI,7621618.92
2016,PR,78637296.92
2016,RJ,259147997.27
2016,RN,27233731.09
2016,RO,3125309.88
2016,RR,1363618.15
2016,RS,144639636.96
2016,SC,74216943.64
2016,SE,13837830.81
2016,SP,483044738.91
2016,TO,3941438.33
2017,AC,2355405.12
2017,AL,7036164.9
2017,AM,17375228.15
2017,AP,1292913.63
2017,BA,35683121.73
2017,CE,31189969.41
2017,DF,103992170.43
2017,ES,9657515.97
2017,GO,18458825.95
2017,MA,5651377.39
2017,MG,125379154.95
2017,MS,9296518.34
2017,MT,6869167.5
2017,PA,27609306.26
2017,PB,28987179.92
2017,PE,54427908.87
2017,PI,5864582.75
2017,PR,54926963.11
2017,RJ,224671379.23
2017,RN,16317322.3
2017,RO,1704111.76
2017,RR,1213632.6
2017,RS,118261908.23
2017,SC,52532725.41
2017,SE,7808816.2299999995
2017,SP,378798071.56
2017,TO,1805182.82
2018,AC,1311178.28
2018,AL,7149421.03
2018,AM,15585880.95
2018,AP,1237224.74
2018,BA,35827899.38
2018,CE,33441621.98
2018,DF,73597513.69
2018,ES,8987882.58
2018,GO,17222775.11
2018,MA,5286859.26
2018,MG,129370288.5
2018,MS,9257470.38
2018,MT,7621623.62
2018,PA,25968371.52
2018,PB,28852806.03
2018,PE,51153902.81
2018,PI,5042369.86
2018,PR,54017151.33
2018,RJ,223409721.36
2018,RN,16953971.71
2018,RO,1634260.0
2018,RR,996326.78
2018,RS,125297906.93
2018,SC,51809000.06
2018,SE,7415360.61
2018,SP,374062201.65
2018,TO,2850312.23
2019,AC,1753860.0
2019,AL,7828298.0
2019,AM,15004675.0
2019,AP,938354.0
2019,BA,38425133.0
2019,CE,29678838.0
2019,DF,62719233.0
2019,ES,9930720.0
2019,GO,17753359.0
2019,MA,6262036.0
2019,MG,125374861.0
2019,MS,8830840.0
2019,MT,7037046.0
2019,PA,29229055.0
2019,PB,28302100.0
2019,PE,52743458.0
2019,PI,5476712.0
2019,PR,56003507.0
2019,RJ,223041020.0
2019,RN,17158085.0
2019,RO,1760350.0
2019,RR,944585.0
2019,RS,123082448.0
2019,SC,49122021.0
2019,SE,7023199.0
2019,SP,360240896.0
2019,TO,3296351.0
2021,AC,1009361.2
2021,AL,4873790.0
2021,AM,13506140.8
2021,AP,966353.0
2021,BA,27026813.55
2021,CE,23813650.33
2021,DF,44295136.85
2021,ES,11522158.87
2021,GO,19413287.2
2021,MA,4281685.54
2021,MG,104391301.23
2021,MS,8117417.9
2021,MT,5767113.5
2021,PA,21583201.22
2021,PB,24885082.0
2021,PE,40271380.81
2021,PI,6749670.0
2021,PR,51913206.91
2021,RJ,199473946.45
2021,RN,14027879.9
2021,RO,1236318.0
2021,RR,866460.0
2021,RS,98640816.45
2021,SC,38933130.71
2021,SE,6008335.52
2021,SP,374223944.51
2021,TO,2721649.88
2022,AC,1232065.0
2022,AL,9158935.76
2022,AM,20429497.34
2022,AP,1559301.97
2022,BA,66862494.72
2022,CE,41575610.48
2022,DF,75288718.12
2022,ES,15546359.06
2022,GO,29222673.36
2022,MA,8712088.36
2022,MG,176607229.75
2022,MS,12476333.24
2022,MT,10253500.24
2022,PA,29428862.75
2022,PB,32758736.77
2022,PE,61074649.65
2022,PI,6521368.33
2022,PR,88769567.71000001
2022,RJ,234422979.04
2022,RN,24921254.91
2022,RO,1872811.0
2022,RR,1326943.22
2022,RS,159297233.5
2022,SC,69426884.09
2022,SE,12061186.76
2022,SP,456314496.61
2022,TO,4059619.75
2023,AC,9957.04543
2023,AL,56466.28607
2023,AM,55124.97155
2023,AP,19951.78175
2023,BA,186193.35652
2023,CE,159902.0477
2023,DF,345996.68108
2023,ES,61956.13808
2023,GO,130367.89633
2023,MA,74397.36718
2023,MG,488472.38357
2023,MS,63394.20431
2023,MT,117924.46904
2023,PA,205587.88339
2023,PB,237262.30063
2023,PE,201324.38436999999
2023,PI,32334.72389
2023,PR,291111.41627
2023,RJ,4220516.55967
2023,RN,154821.33402
2023,RO,16082.9015
2023,RR,11289.163
2023,RS,506790.03142
2023,SC,201996.46795
2023,SE,73543.59295
2023,SP,1015902.9639
2023,TO,30803.91921
2024,AC,3207986.06
2024,AL,18610797.67
2024,AM,28819535.66
2024,AP,5249657.93
2024,BA,73290189.36
2024,CE,70561185.31
2024,DF,100257710.86
2024,ES,23584790.56
2024,GO,41692594.11
2024,MA,19726823.64
2024,MG,216988822.35
2024,MS,35502436.16
2024,MT,19238543.36
2024,PA,58322196.26
2024,PB,49003518.02
2024,PE,88995205.67
2024,PI,17758094.16
2024,PR,121185950.8
2024,RJ,377163122.36
2024,RN,47497991.44
2024,RO,5096459.97
2024,RR,2308460.7
2024,RS,209720982.93
2024,SC,87699076.43
2024,SE,19769908.74
2024,SP,539748900.67
2024,TO,8023281.57
